Event_No,Datetime,X Frequency_observed,X Frequency_trend,X Frequency_seasonal,X Frequency_resid
776,2021-10-02 06:38:00,0.225,0.22415241214888995,0.005202907017546054,-0.004355319166436
777,2021-10-02 07:08:00,0.225,0.22416528700281577,-0.0015099483866445411,0.002344661383828772
778,2021-10-02 07:38:00,0.2,0.22417590350524308,-0.0007656533949836708,-0.023410250110259406
779,2021-10-02 08:08:00,0.225,0.22418513696862705,-0.004702387402407219,0.00551725043378018
780,2021-10-02 08:38:00,0.225,0.2241935951956666,6.258700839822641e-05,0.0007438177959351866
781,2021-10-02 09:08:00,0.225,0.2242016450750893,-9.727665750564266e-05,0.0008956315824163452
782,2021-10-02 09:38:00,0.225,0.22420964444693164,-0.002353593644936107,0.003143949198004481
783,2021-10-02 10:08:00,0.213,0.22421771039365385,-0.0023770837531334795,-0.008840626640520377
784,2021-10-02 10:38:00,0.225,0.2242257286906705,0.003960127196626876,-0.0031858558872973897
785,2021-10-02 11:08:00,0.225,0.22423357073352043,0.0009661865601000323,-0.00019975729362045613
786,2021-10-02 11:38:00,0.213,0.22424108396748346,-0.009948305942284536,-0.0012927780251989207
787,2021-10-02 12:08:00,0.225,0.2242481559264076,0.0005010725407691204,0.00025077153282329623
788,2021-10-02 12:38:00,0.225,0.22425469752750501,0.0009556844928714854,-0.00021038202037648723
789,2021-10-02 13:08:00,0.225,0.22426063560196147,0.0009439964599995652,-0.0002046320619610298
790,2021-10-02 13:38:00,0.225,0.22426591216047706,0.0008979991531250205,-0.00016391131360207756
791,2021-10-02 14:08:00,0.225,0.22427048986065196,0.0008463405161569992,-0.00011683037680895736
792,2021-10-02 14:38:00,0.225,0.2242743851824422,0.0007794114719795344,-5.379665442173387e-05
793,2021-10-02 15:08:00,0.225,0.22427767173407845,0.00071329589056007,9.032375361484046e-06
794,2021-10-02 15:38:00,0.225,0.22428041921473735,0.0003922195771684455,0.00032736120809420677
795,2021-10-02 16:08:00,0.225,0.22428265110302836,0.0008893016890260756,-0.00017195279205442504
796,2021-10-02 16:38:00,0.2,0.22428435173795352,0.002625516061396329,-0.02690986779934984
797,2021-10-02 17:08:00,0.225,0.22428553685704988,0.00047152545242439383,0.00024293769052571856
798,2021-10-02 17:38:00,0.225,0.22428625668249988,-0.0014672395212965538,0.002180982838796669
799,2021-10-02 18:08:00,0.225,0.22428660716188578,0.0015076789981359185,-0.0007942861600216955
800,2021-10-02 18:38:00,0.225,0.22428666075059278,0.0014286574223929978,-0.0007153181729857849
801,2021-10-02 19:08:00,0.225,0.22428649241203863,0.0013430518872569496,-0.0006295442992955702
802,2021-10-02 19:38:00,0.225,0.2242861916337638,0.001256559314127376,-0.000542750947891163
803,2021-10-02 20:08:00,0.225,0.22428585913280197,0.0011878606006727563,-0.00047371973347470897
804,2021-10-02 20:38:00,0.225,0.2242855952147264,0.0011027314531235682,-0.00038832666784996417
805,2021-10-02 21:08:00,0.225,0.22428549259294903,0.0010547489660983679,-0.00034024155904738285
806,2021-10-02 21:38:00,0.225,0.22428563506984991,0.00099913156910641,-0.00028476663895632415
807,2021-10-02 22:08:00,0.225,0.22428610445705474,0.0007567875291996319,-4.289198625437307e-05
808,2021-10-02 22:38:00,0.225,0.22428699341862357,0.0009190721521394679,-0.00020606557076302545
809,2021-10-02 23:08:00,0.225,0.22428835610578943,-3.4640240671285046e-06,0.0007151079182776965
810,2021-10-02 23:38:00,0.225,0.2242901400524975,-0.0031612448345921715,0.003871104782094681
811,2021-10-03 00:08:00,0.225,0.22429233702179377,0.00039601453355238417,0.00031164844465383923
812,2021-10-03 00:38:00,0.225,0.2242949266729477,0.0003849903028731999,0.00032008302417910195
813,2021-10-03 01:08:00,0.225,0.22429788736020304,-0.00012080251623160319,0.0008229151560285863
814,2021-10-03 01:38:00,0.225,0.22430129436741397,0.00029977706800496357,0.0003989285645810692
815,2021-10-03 02:08:00,0.225,0.22430522606833136,0.0007283301874325681,-3.3556255763927956e-05
816,2021-10-03 02:38:00,0.225,0.22430972507257105,0.0007932533834559719,-0.00010297845602702527
817,2021-10-03 03:08:00,0.225,0.22431480756773192,-0.0009334001200198895,0.0016185925522879674
818,2021-10-03 03:38:00,0.225,0.22432046306041584,0.0007961981005717334,-0.00011666116098757451
819,2021-10-03 04:08:00,0.225,0.22432664545960052,0.0016413616271113713,-0.0009680070867118806
820,2021-10-03 04:38:00,0.225,0.22433319187262668,-0.0033837274297214407,0.004050535557094753
821,2021-10-03 05:08:00,0.225,0.22433990536290832,0.001652833288148898,-0.0009927386510572012
822,2021-10-03 05:38:00,0.225,0.22434654775588722,0.000636056168721428,1.7396075391362675e-05
823,2021-10-03 06:08:00,0.225,0.22435286095385923,0.0008844795513833147,-0.0002373405052425448
824,2021-10-03 06:38:00,0.225,0.22435853331102962,0.0032505925284009914,-0.0026091258394305983
825,2021-10-03 07:08:00,0.225,0.22436329329014273,0.000472736784120657,0.0001639699257366123
826,2021-10-03 07:38:00,0.225,0.2243669087387411,0.000706246187433253,-7.315492617435138e-05
827,2021-10-03 08:08:00,0.213,0.22436920929735824,-0.0035815059581066123,-0.007787703339251634
828,2021-10-03 08:38:00,0.225,0.22437009275434108,-0.0014201939589161701,0.0020501012045751055
829,2021-10-03 09:08:00,0.225,0.22436952401643834,-0.0006807564136086909,0.0013112323971703477
830,2021-10-03 09:38:00,0.213,0.2243676215821188,-0.0032301985061951527,-0.008137423075923633
831,2021-10-03 10:08:00,0.225,0.2243645890396671,-0.0014521072694620883,0.002087518229794999
832,2021-10-03 10:38:00,0.225,0.22436070456082843,0.0010560979305947863,-0.0004168024914232016
833,2021-10-03 11:08:00,0.225,0.2243563105439323,0.0007108202057207785,-6.713074965306043e-05
834,2021-10-03 11:38:00,0.213,0.224351767665163,-0.010778912726837469,-0.0005728549383255122
835,2021-10-03 12:08:00,0.213,0.22434736880722947,0.00014251648388115306,-0.01148988529111064
836,2021-10-03 12:38:00,0.225,0.22434335294929378,0.00077572530091689,-0.00011907825021065244
